Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Nauru,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,100.46,107.699,111.58,115.88,117.762,117.703,111.452,103.293,2017
Nepal,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.193,31.924,30.556,30.558,30.271,30.239,30.225,30.358,2018
Netherlands,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,42.445,42.054,42.775,43.23,43.077,42.956,42.901,42.851,2018
New Zealand,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.172,36.666,37.168,37.187,36.681,36.114,35.887,35.881,2018
Nicaragua,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.934,27.304,27.437,27.547,25.298,26.002,26.542,26.951,2018
Niger,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.808,29.157,29.829,29.029,28.109,28.6,28.39,28.164,2017
Nigeria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,12.008,13.037,12.674,12.087,11.834,11.98,12.191,12.226,2018
North Macedonia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,31.841,30.293,32.245,32.939,32.718,32.675,32.492,32.438,2018
Norway,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,49.408,48.003,48.078,47.661,48.058,48.29,48.351,48.342,2018
Oman,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,45.773,45.391,43.19,43.441,43.074,43.204,43.218,42.772,2018
Pakistan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.303,21.631,21.6,23.638,23.309,22.939,22.417,22.148,2018
Palau,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.335,38.179,40.195,38.991,38.228,37.676,36.285,35.867,2018
Panama,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.839,21.726,21.067,20.322,19.535,19.409,19.405,19.469,2018
Papua New Guinea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.705,22.443,21.136,20.699,20.078,20.108,20.178,19.741,2015
Paraguay,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.465,19.032,18.55,18.589,18.633,18.79,18.803,18.764,2018
Peru,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.236,21.409,21.48,21.628,21.426,21.384,21.398,21.413,2018
Philippines,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.965,21.768,21.357,22.313,22.612,22.977,23.389,23.85,2018
Poland,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,41.23,41.549,42.796,42.967,42.487,42.407,42.495,42.489,2018
Portugal,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,45.357,43.467,43.415,43.159,42.974,42.814,42.683,42.439,2018
Puerto Rico,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.794,24.34,25.067,24.407,22.339,21.601,21.284,20.948,2016
Qatar,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,33.453,29.602,30.051,29.579,29.365,28.218,27.836,27.031,2018
Romania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.834,32.228,33.491,34.034,34.271,34.458,34.277,33.621,2018
Russia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,34.733,32.617,33.948,34.09,34.361,34.287,34.287,34.283,2018
Rwanda,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,25.402,26.73,26.742,26.267,25.783,25.133,25.13,25.558,2018
Samoa,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.303,34.187,35.206,35.656,35.956,36.056,36.256,36.056,2018
San Marino,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,25.699,25.669,23.25,24.568,24.477,24.388,24.642,24.575,2017
São Tomé and Príncipe,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.632,25.598,24.035,23.904,23.292,22.933,22.747,22.654,2018
Saudi Arabia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,33.305,36.575,39.032,37.594,37.694,37.064,36.948,36.583,2018
Senegal,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.036,22.209,23.22,23.689,24.614,25.105,25.912,26.281,2018
Serbia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.135,40.795,41.181,40.498,40.229,40.046,39.879,39.747,2018
Seychelles,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.944,37.385,37.503,36.079,36.417,34.731,34.817,35.23,2018
Sierra Leone,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.429,21.524,21.3,21.223,21.243,21.224,20.991,21.045,2018
Singapore,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,13.795,14.621,14.318,14.818,15.018,15.368,15.618,15.868,2019
Slovak Republic,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.196,40.627,40.389,40.398,40.087,40.408,41.689,39.763,2018
Slovenia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,39.784,39.489,39.754,39.709,39.622,39.652,39.694,39.718,2018
Solomon Islands,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,47.54,44.9,45.296,45.125,44.882,45.371,45.803,45.199,2017
Somalia,General government total expenditure,Percent of GDP,,,,,,,,,,,
South Africa,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.633,33.444,35.293,35.877,35.621,35.611,35.731,35.85,2018
South Sudan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,33.566,32.75,28.82,34.659,38.622,37.204,37.327,38.979,2018
Spain,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.994,41.343,41.311,41.041,40.935,40.94,40.877,40.839,2018
Sri Lanka,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.176,18.638,18.604,19.341,19.223,19.25,19.35,19.41,2018
St. Kitts and Nevis,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.321,33.45,31.414,32.25,30.873,31.047,31.231,31.471,2018
St. Lucia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,25.162,25.044,25.958,26.216,26.064,25.953,25.953,25.958,2018
St. Vincent and the Grenadines,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.238,30.272,30.248,30.276,30.188,30.087,30.011,29.918,2018
Sudan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,13.706,15.133,17.811,16.874,17.149,17.758,18.398,19.198,2018
Suriname,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.276,31.249,35.602,35.023,33.988,33.499,34.69,34.349,2017
Sweden,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,47.951,48.406,48.402,48.314,48.042,48.098,48.096,48.093,2018
Switzerland,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.93,32.431,32.544,32.39,32.396,32.394,32.4,32.4,2017
Syria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2009
Taiwan Province of China,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.756,17.868,17.326,17.356,17.386,17.456,17.356,17.256,2018
Tajikistan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.632,31.869,31.833,31.057,31.092,31.081,31.081,31.089,2017
Tanzania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,16.573,16.517,16.865,17.627,18.142,18.574,18.774,18.767,2018
Thailand,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.995,21.604,21.632,21.62,22.153,22.394,22.596,22.637,2018
